user_id,signup_at,signup_date,cohort_week,persona,onboarding_path,acquisition_channel,age_group
U0001,2026-02-16 08:00:00,2026-02-16,2026-02-16,explorer,self_serve,community,adult_18_plus
U0002,2026-01-11 08:00:00,2026-01-11,2026-01-05,explorer,guided,referral,adult_18_plus
U0003,2026-01-11 08:00:00,2026-01-11,2026-01-05,explorer,self_serve,community,adult_18_plus
U0004,2026-01-08 08:00:00,2026-01-08,2026-01-05,maker,self_serve,organic,adult_18_plus
U0005,2026-01-06 08:00:00,2026-01-06,2026-01-05,maker,guided,organic,adult_18_plus
U0006,2026-01-10 08:00:00,2026-01-10,2026-01-05,explorer,guided,organic,adult_18_plus
U0007,2026-02-12 08:00:00,2026-02-12,2026-02-09,maker,self_serve,organic,adult_18_plus
U0008,2026-01-05 08:00:00,2026-01-05,2026-01-05,maker,self_serve,community,adult_18_plus
U0009,2026-02-21 08:00:00,2026-02-21,2026-02-16,explorer,self_serve,community,adult_18_plus
U0010,2026-01-29 08:00:00,2026-01-29,2026-01-26,maker,self_serve,community,adult_18_plus
U0011,2026-02-21 08:00:00,2026-02-21,2026-02-16,explorer,self_serve,community,adult_18_plus
U0012,2026-02-12 08:00:00,2026-02-12,2026-02-09,maker,self_serve,organic,adult_18_plus
U0013,2026-01-20 08:00:00,2026-01-20,2026-01-19,maker,self_serve,organic,adult_18_plus
U0014,2026-02-18 08:00:00,2026-02-18,2026-02-16,explorer,self_serve,community,adult_18_plus
U0015,2026-01-14 08:00:00,2026-01-14,2026-01-12,explorer,self_serve,referral,adult_18_plus
U0016,2026-02-12 08:00:00,2026-02-12,2026-02-09,explorer,guided,community,adult_18_plus
U0017,2026-02-05 08:00:00,2026-02-05,2026-02-02,explorer,guided,referral,adult_18_plus
U0018,2026-02-24 08:00:00,2026-02-24,2026-02-23,explorer,self_serve,referral,adult_18_plus
U0019,2026-01-21 08:00:00,2026-01-21,2026-01-19,maker,guided,organic,adult_18_plus
U0020,2026-02-14 08:00:00,2026-02-14,2026-02-09,explorer,guided,referral,adult_18_plus
U0021,2026-01-15 08:00:00,2026-01-15,2026-01-12,explorer,self_serve,referral,adult_18_plus
U0022,2026-02-03 08:00:00,2026-02-03,2026-02-02,explorer,self_serve,organic,adult_18_plus
U0023,2026-01-13 08:00:00,2026-01-13,2026-01-12,maker,guided,referral,adult_18_plus
U0024,2026-02-12 08:00:00,2026-02-12,2026-02-09,explorer,self_serve,referral,adult_18_plus
U0025,2026-02-03 08:00:00,2026-02-03,2026-02-02,maker,guided,community,adult_18_plus
U0026,2026-02-28 08:00:00,2026-02-28,2026-02-23,explorer,guided,organic,adult_18_plus
U0027,2026-02-13 08:00:00,2026-02-13,2026-02-09,maker,self_serve,organic,adult_18_plus
U0028,2026-01-13 08:00:00,2026-01-13,2026-01-12,maker,self_serve,referral,adult_18_plus
U0029,2026-01-17 08:00:00,2026-01-17,2026-01-12,explorer,guided,community,adult_18_plus
U0030,2026-01-08 08:00:00,2026-01-08,2026-01-05,explorer,guided,organic,adult_18_plus
U0031,2026-02-02 08:00:00,2026-02-02,2026-02-02,explorer,self_serve,organic,adult_18_plus
