event_id,user_id,event_time,event_date,session_id,event_name,feature
E000157,U0008,2026-01-05 08:00:00,2026-01-05,,signed_up,
E000862,U0048,2026-01-05 08:00:00,2026-01-05,,signed_up,
E002223,U0114,2026-01-05 08:00:00,2026-01-05,,signed_up,
E000158,U0008,2026-01-05 09:01:00,2026-01-05,U0008-000,session_started,
E000159,U0008,2026-01-05 09:03:00,2026-01-05,U0008-000,project_created,
E000160,U0008,2026-01-05 09:04:00,2026-01-05,U0008-000,lesson_started,
E002224,U0114,2026-01-05 09:04:00,2026-01-05,U0114-000,session_started,
E002225,U0114,2026-01-05 09:07:00,2026-01-05,U0114-000,lesson_started,
E000161,U0008,2026-01-05 09:09:00,2026-01-05,U0008-000,lesson_completed,
E000162,U0008,2026-01-05 09:18:00,2026-01-05,U0008-000,feature_used,collaboration
E000863,U0048,2026-01-05 09:24:00,2026-01-05,U0048-000,session_started,
E000864,U0048,2026-01-05 09:27:00,2026-01-05,U0048-000,lesson_started,
E000068,U0005,2026-01-06 08:00:00,2026-01-06,,signed_up,
E001633,U0086,2026-01-06 08:00:00,2026-01-06,,signed_up,
E002226,U0114,2026-01-06 09:06:00,2026-01-06,U0114-001,session_started,
E002227,U0114,2026-01-06 09:08:00,2026-01-06,U0114-001,project_created,
E001634,U0086,2026-01-06 09:09:00,2026-01-06,U0086-000,session_started,
E002228,U0114,2026-01-06 09:09:00,2026-01-06,U0114-001,lesson_started,
E001635,U0086,2026-01-06 09:11:00,2026-01-06,U0086-000,project_created,
E001636,U0086,2026-01-06 09:12:00,2026-01-06,U0086-000,lesson_started,
E002229,U0114,2026-01-06 09:14:00,2026-01-06,U0114-001,lesson_completed,
E002230,U0114,2026-01-06 09:22:00,2026-01-06,U0114-001,feature_used,progress_tracker
E001637,U0086,2026-01-06 09:24:00,2026-01-06,U0086-000,feature_used,template_library
E001638,U0086,2026-01-06 09:25:00,2026-01-06,U0086-000,feature_used,progress_tracker
E001639,U0086,2026-01-06 09:26:00,2026-01-06,U0086-000,feature_used,collaboration
E000069,U0005,2026-01-06 09:49:00,2026-01-06,U0005-000,session_started,
E000070,U0005,2026-01-06 09:52:00,2026-01-06,U0005-000,lesson_started,
E000071,U0005,2026-01-06 10:05:00,2026-01-06,U0005-000,feature_used,progress_tracker
E000040,U0004,2026-01-08 08:00:00,2026-01-08,,signed_up,
E000575,U0030,2026-01-08 08:00:00,2026-01-08,,signed_up,
E001080,U0060,2026-01-08 08:00:00,2026-01-08,,signed_up,
E002269,U0117,2026-01-08 08:00:00,2026-01-08,,signed_up,
E000072,U0005,2026-01-08 09:31:00,2026-01-08,U0005-002,session_started,
E000073,U0005,2026-01-08 09:33:00,2026-01-08,U0005-002,project_created,
E000074,U0005,2026-01-08 09:34:00,2026-01-08,U0005-002,lesson_started,
E002270,U0117,2026-01-08 09:38:00,2026-01-08,U0117-000,session_started,
E002271,U0117,2026-01-08 09:40:00,2026-01-08,U0117-000,project_created,
E002272,U0117,2026-01-08 09:41:00,2026-01-08,U0117-000,lesson_started,
E000075,U0005,2026-01-08 09:46:00,2026-01-08,U0005-002,feature_used,template_library
E000576,U0030,2026-01-08 09:48:00,2026-01-08,U0030-000,session_started,
E000577,U0030,2026-01-08 09:50:00,2026-01-08,U0030-000,project_created,
E000578,U0030,2026-01-08 09:51:00,2026-01-08,U0030-000,lesson_started,
E001081,U0060,2026-01-08 09:54:00,2026-01-08,U0060-000,session_started,
E002273,U0117,2026-01-08 09:54:00,2026-01-08,U0117-000,feature_used,progress_tracker
E002274,U0117,2026-01-08 09:55:00,2026-01-08,U0117-000,feature_used,collaboration
E000041,U0004,2026-01-08 09:56:00,2026-01-08,U0004-000,session_started,
E001082,U0060,2026-01-08 09:57:00,2026-01-08,U0060-000,lesson_started,
E000042,U0004,2026-01-08 09:59:00,2026-01-08,U0004-000,lesson_started,
E000579,U0030,2026-01-08 10:03:00,2026-01-08,U0030-000,feature_used,template_library
E001083,U0060,2026-01-08 10:09:00,2026-01-08,U0060-000,feature_used,template_library
E001084,U0060,2026-01-08 10:10:00,2026-01-08,U0060-000,feature_used,progress_tracker
E000043,U0004,2026-01-08 10:11:00,2026-01-08,U0004-000,feature_used,template_library
E000044,U0004,2026-01-08 10:12:00,2026-01-08,U0004-000,feature_used,progress_tracker
E001257,U0067,2026-01-09 08:00:00,2026-01-09,,signed_up,
