date,dau,rolling_30d_mau,full_30d_window
2026-01-05,3,3,0
2026-01-06,3,5,0
2026-01-07,0,5,0
2026-01-08,5,9,0
2026-01-09,2,10,0
2026-01-10,3,11,0
2026-01-11,7,16,0
2026-01-12,3,17,0
2026-01-13,6,20,0
2026-01-14,5,25,0
2026-01-15,5,28,0
2026-01-16,4,29,0
2026-01-17,6,33,0
2026-01-18,4,33,0
2026-01-19,5,35,0
2026-01-20,6,36,0
2026-01-21,9,39,0
2026-01-22,4,40,0
2026-01-23,4,41,0
2026-01-24,6,42,0
2026-01-25,7,46,0
2026-01-26,7,51,0
2026-01-27,7,53,0
2026-01-28,3,53,0
2026-01-29,14,56,0
2026-01-30,8,59,0
2026-01-31,8,61,0
2026-02-01,5,62,0
2026-02-02,8,66,0
2026-02-03,11,69,1
2026-02-04,9,69,1
2026-02-05,7,71,1
2026-02-06,4,72,1
2026-02-07,4,71,1
2026-02-08,9,72,1
2026-02-09,7,74,1
2026-02-10,12,75,1
2026-02-11,7,76,1
2026-02-12,12,81,1
2026-02-13,8,82,1
2026-02-14,7,83,1
2026-02-15,5,85,1
2026-02-16,10,85,1
2026-02-17,5,86,1
2026-02-18,9,89,1
2026-02-19,11,90,1
2026-02-20,9,92,1
2026-02-21,15,95,1
2026-02-22,8,98,1
2026-02-23,8,102,1
2026-02-24,8,104,1
2026-02-25,14,106,1
2026-02-26,9,107,1
2026-02-27,11,109,1
2026-02-28,13,109,1
2026-03-01,15,112,1
2026-03-02,7,112,1
2026-03-03,10,113,1
2026-03-04,10,112,1
2026-03-05,11,111,1
2026-03-06,10,111,1
2026-03-07,12,111,1
2026-03-08,5,111,1
2026-03-09,8,112,1
2026-03-10,11,112,1
2026-03-11,7,112,1
2026-03-12,10,113,1
2026-03-13,10,112,1
2026-03-14,7,112,1
2026-03-15,9,112,1
2026-03-16,10,113,1
2026-03-17,10,113,1
2026-03-18,7,111,1
2026-03-19,9,111,1
2026-03-20,11,111,1
2026-03-21,7,111,1
2026-03-22,10,111,1
2026-03-23,11,110,1
2026-03-24,9,109,1
2026-03-25,8,109,1
2026-03-26,6,109,1
2026-03-27,6,109,1
2026-03-28,9,108,1
2026-03-29,6,106,1
