cohort_week,week_index,cohort_size,retained_users,retention_rate,fully_observed
2026-01-05,0,16,16,1.0,1
2026-01-05,1,16,7,0.4375,1
2026-01-05,2,16,8,0.5,1
2026-01-05,3,16,10,0.625,1
2026-01-05,4,16,5,0.3125,1
2026-01-05,5,16,6,0.375,1
2026-01-05,6,16,7,0.4375,1
2026-01-05,7,16,6,0.375,1
2026-01-05,8,16,1,0.0625,1
2026-01-05,9,16,8,0.5,1
2026-01-05,10,16,3,0.1875,1
2026-01-05,11,16,3,0.1875,1
2026-01-12,0,17,17,1.0,1
2026-01-12,1,17,8,0.4706,1
2026-01-12,2,17,7,0.4118,1
2026-01-12,3,17,7,0.4118,1
2026-01-12,4,17,8,0.4706,1
2026-01-12,5,17,7,0.4118,1
2026-01-12,6,17,3,0.1765,1
2026-01-12,7,17,8,0.4706,1
2026-01-12,8,17,10,0.5882,1
2026-01-12,9,17,4,0.2353,1
2026-01-12,10,17,5,0.2941,1
2026-01-12,11,17,,,0
2026-01-19,0,13,13,1.0,1
2026-01-19,1,13,6,0.4615,1
2026-01-19,2,13,10,0.7692,1
2026-01-19,3,13,8,0.6154,1
2026-01-19,4,13,7,0.5385,1
2026-01-19,5,13,5,0.3846,1
2026-01-19,6,13,4,0.3077,1
2026-01-19,7,13,3,0.2308,1
2026-01-19,8,13,8,0.6154,1
2026-01-19,9,13,8,0.6154,1
2026-01-19,10,13,,,0
2026-01-19,11,13,,,0
2026-01-26,0,16,16,1.0,1
2026-01-26,1,16,8,0.5,1
2026-01-26,2,16,7,0.4375,1
2026-01-26,3,16,3,0.1875,1
2026-01-26,4,16,3,0.1875,1
2026-01-26,5,16,8,0.5,1
2026-01-26,6,16,4,0.25,1
2026-01-26,7,16,7,0.4375,1
2026-01-26,8,16,4,0.25,1
2026-01-26,9,16,,,0
2026-01-26,10,16,,,0
2026-01-26,11,16,,,0
2026-02-02,0,11,11,1.0,1
2026-02-02,1,11,6,0.5455,1
2026-02-02,2,11,5,0.4545,1
2026-02-02,3,11,5,0.4545,1
2026-02-02,4,11,4,0.3636,1
2026-02-02,5,11,5,0.4545,1
2026-02-02,6,11,8,0.7273,1
2026-02-02,7,11,1,0.0909,1
2026-02-02,8,11,,,0
2026-02-02,9,11,,,0
2026-02-02,10,11,,,0
2026-02-02,11,11,,,0
2026-02-09,0,13,13,1.0,1
2026-02-09,1,13,10,0.7692,1
2026-02-09,2,13,7,0.5385,1
2026-02-09,3,13,5,0.3846,1
2026-02-09,4,13,4,0.3077,1
2026-02-09,5,13,7,0.5385,1
2026-02-09,6,13,8,0.6154,1
2026-02-09,7,13,,,0
2026-02-09,8,13,,,0
2026-02-09,9,13,,,0
2026-02-09,10,13,,,0
2026-02-09,11,13,,,0
2026-02-16,0,15,15,1.0,1
2026-02-16,1,15,12,0.8,1
2026-02-16,2,15,6,0.4,1
2026-02-16,3,15,4,0.2667,1
2026-02-16,4,15,7,0.4667,1
2026-02-16,5,15,5,0.3333,1
2026-02-16,6,15,,,0
2026-02-16,7,15,,,0
2026-02-16,8,15,,,0
2026-02-16,9,15,,,0
2026-02-16,10,15,,,0
2026-02-16,11,15,,,0
2026-02-23,0,19,19,1.0,1
2026-02-23,1,19,10,0.5263,1
2026-02-23,2,19,11,0.5789,1
2026-02-23,3,19,9,0.4737,1
2026-02-23,4,19,7,0.3684,1
2026-02-23,5,19,,,0
2026-02-23,6,19,,,0
2026-02-23,7,19,,,0
2026-02-23,8,19,,,0
2026-02-23,9,19,,,0
2026-02-23,10,19,,,0
2026-02-23,11,19,,,0
